canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
618615,5,1,COAL,778.15,37.0,COAL,6.658203581891623
618616,6,0,Roads & Highways,625.58,35.0,Roads & Highways,6.440276459719512
618617,2,1,RAILWAYS,1229.38,44.0,RAILWAYS,7.1150783437428045
618618,6,1,RAILWAYS,2029.17,55.0,RAILWAYS,7.615874812371878
618619,6,0,Roads & Highways,998.95,34.0,Roads & Highways,6.907705277732095
618620,2,1,Roads & Highways,207.77,23.0,Roads & Highways,5.3412331675248685
618621,5,1,POWER,1162.8,36.0,POWER,7.0594457922225695
618622,2,1,POWER,1001.69,39.0,POWER,6.9104416674074445
618623,2,1,Roads & Highways,1504.37,38.0,Roads & Highways,7.316793994143591
618624,4,0,Roads & Highways,1082.65,37.0,Roads & Highways,6.988090251634412
618626,2,1,Roads & Highways,819.52,34.0,Roads & Highways,6.709938285613936
618627,6,0,Roads & Highways,168.52,24.0,Roads & Highways,5.132970913960044
618628,2,1,Roads & Highways,150.21,38.0,Roads & Highways,5.0186695991245776
618629,2,1,Roads & Highways,416.07,19.0,Roads & Highways,6.033254073418364
618630,2,1,POWER,2718.46,30.0,POWER,7.908188610168706
618631,2,1,Roads & Highways,1499.73,38.0,Roads & Highways,7.313706935373153
618632,2,1,RAILWAYS,972.06,35.0,RAILWAYS,6.880445745238551
618633,3,0,Roads & Highways,1732.66,63.0,Roads & Highways,7.457990059683226
618634,5,1,"DEPARTMENT
OF HIGHER
EDUCATION",1102.63,46.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.0063600257358924
618635,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",818.73,47.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.708975017744909
618636,3,1,Roads & Highways,1370.75,43.0,Roads & Highways,7.223842575939085
618637,4,1,POWER,1654.07,33.0,POWER,7.4115985829892175
618638,2,1,Roads & Highways,2267.99,61.0,Roads & Highways,7.727090077542276
