canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
617883,7.0,0,Healthcare,4441.0,128.0,Other,8.398860004454372
617885,6.0,1,"DEPARTMENT
OF HIGHER
EDUCATION",302.88,18.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.716632886635021
617886,9.0,1,RAILWAYS,252.19,51.0,RAILWAYS,5.53414019501932
617887,6.0,1,RAILWAYS,379.23,34.0,RAILWAYS,5.940776332780459
617888,1.0,1,Roads & Highways,192.54,25.0,Roads & Highways,5.265484209452796
617889,1.0,1,Roads & Highways,192.22,19.0,Roads & Highways,5.263829436089363
617890,5.0,0,Roads & Highways,220.89,34.0,Roads & Highways,5.402181763578325
617891,6.0,1,RAILWAYS,186.29,29.0,RAILWAYS,5.232658217741762
617892,6.0,1,POWER,450.65,96.0,POWER,6.112907543595853
617893,5.0,0,Roads & Highways,304.83,54.0,Roads & Highways,5.723029392018658
617894,1.0,1,Roads & Highways,410.83,36.0,Roads & Highways,6.020610642838686
617895,9.0,1,RAILWAYS,535.03,37.0,RAILWAYS,6.284190129653785
617896,12.0,0,RAILWAYS,421.15,31.0,RAILWAYS,6.045360701115509
617897,9.0,1,PETROLEUM,295.24,40.0,PETROLEUM,5.691169936605357
617898,4.0,0,Roads & Highways,199.5,55.0,Roads & Highways,5.300814246746624
617899,9.0,1,POWER,636.1,47.0,POWER,6.456926629122442
617900,6.0,1,RAILWAYS,150.11,33.0,RAILWAYS,5.018008048425669
617901,6.0,1,RAILWAYS,194.88,35.0,RAILWAYS,5.277502226834117
617902,4.0,0,Roads & Highways,168.95,45.0,Roads & Highways,5.135504276142125
617904,6.0,1,POWER,238.78,44.0,POWER,5.4797218362795075
617905,6.0,1,POWER,324.09,41.0,POWER,5.784102067070543
617906,7.0,1,COAL,173.06,14.0,COAL,5.159400067361368
617907,9.0,1,"DEPARTMENT
OF HIGHER
EDUCATION",388.71,33.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.965402872780123
617908,4.0,0,Roads & Highways,161.96,39.0,Roads & Highways,5.093504771918551
617909,4.0,0,Roads & Highways,648.05,35.0,Roads & Highways,6.4755097553390035
617911,6.0,1,POWER,511.83,29.0,POWER,6.239944406235359
617912,5.0,0,Roads & Highways,619.55,43.0,Roads & Highways,6.43060618157553
617913,6.0,1,RAILWAYS,283.15,28.0,RAILWAYS,5.649502267743131
617914,2.0,1,Roads & Highways,241.23,45.0,Roads & Highways,5.48988768802314
617915,9.0,1,POWER,329.14,44.0,POWER,5.799516806919395
617916,5.0,0,Roads & Highways,1295.39,47.0,Roads & Highways,7.167338757569021
617917,7.0,1,POWER,478.83,36.0,POWER,6.173431874503444
617919,6.0,1,POWER,349.03,10.0,POWER,5.858018865095914
617920,3.0,0,Roads & Highways,511.54,65.0,Roads & Highways,6.239378756747404
617921,9.0,1,POWER,499.79,39.0,POWER,6.216186851535406
